region,crop,crop_variety,season,soil_ph,soil_moisture_pct,nitrogen_N_mg_kg,phosphorus_P_mg_kg,potassium_K_mg_kg,rainfall_mm,temperature_c,farm_size_acres,yield_value,yield_unit,yield_category
Western,Tomato,Local,Minor,5.92,58.1,146.6,17.5,123.8,1700.4,24.0,0.5,1946.2,kg_per_acre,Low
Eastern,Maize,Local,Major,5.6,68.0,104.2,6.7,79.0,1563.7,24.8,4.63,9.1,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,6.23,41.1,52.8,38.9,172.3,1300.5,29.1,0.5,13.92,bags_per_acre,Medium
Volta,Tomato,F1 Hybrid,Major,5.91,68.9,123.9,38.5,131.9,1107.9,28.8,0.5,3549.2,kg_per_acre,Medium
Northern,Maize,Hybrid OPV,Minor,6.63,43.5,127.0,60.9,92.9,976.5,30.5,2.36,8.68,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,5.39,50.1,103.2,49.4,159.0,968.1,28.6,0.63,15.98,bags_per_acre,Medium
Western,Tomato,Local,Major,5.53,30.9,93.1,56.1,69.7,1663.0,26.6,1.58,1792.6,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,6.34,43.4,35.8,43.3,165.2,1163.1,26.0,0.75,3734.6,kg_per_acre,Medium
Western,Maize,Local,Major,6.38,38.1,63.3,24.5,29.2,1857.3,24.5,2.66,8.12,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Major,4.86,68.3,110.9,29.4,160.9,1043.5,27.3,5.23,1286.5,kg_per_acre,Low
Northern,Tomato,Local,Minor,6.07,49.9,145.1,27.7,136.8,913.5,29.6,0.5,1360.3,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,5.5,54.8,95.7,36.8,80.6,1322.1,28.8,1.93,14.37,bags_per_acre,Medium
Brong-Ahafo,Maize,Pioneer 30G19,Minor,6.65,37.4,169.3,39.6,166.0,955.7,30.4,0.86,14.65,bags_per_acre,Medium
Eastern,Tomato,Local,Major,5.76,53.0,101.6,54.5,72.9,1108.8,24.5,0.5,1966.3,kg_per_acre,Low
Eastern,Maize,Local,Major,7.09,56.8,95.6,33.7,56.2,1314.6,27.1,1.18,8.41,bags_per_acre,Low
Western,Maize,Hybrid OPV,Major,6.57,10.0,108.0,25.7,70.4,1827.0,25.6,0.5,6.94,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.47,69.9,84.7,35.0,43.5,1292.1,27.6,3.33,13.48,bags_per_acre,Medium
Northern,Maize,Pioneer 30G19,Major,5.78,60.7,120.7,60.7,114.3,924.1,32.0,1.23,15.43,bags_per_acre,Medium
Ashanti,Tomato,F1 Hybrid,Minor,5.55,66.9,101.5,36.5,195.6,1378.4,26.2,0.5,3512.4,kg_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Minor,7.16,66.4,69.9,38.4,20.0,1302.0,27.4,0.5,2993.4,kg_per_acre,Medium
Volta,Tomato,Pectomech,Minor,6.07,49.4,86.0,34.9,113.6,1186.1,28.9,0.81,2181.3,kg_per_acre,Low
Northern,Tomato,Pectomech,Major,6.4,46.1,93.2,12.6,275.7,993.8,27.7,0.5,1948.6,kg_per_acre,Low
Ashanti,Tomato,Local,Minor,5.33,55.2,93.6,71.1,82.7,1813.1,27.1,3.09,1666.4,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Minor,6.48,42.0,130.9,41.1,144.8,1117.6,27.2,1.6,8.89,bags_per_acre,Low
Ashanti,Maize,Local,Minor,5.79,60.8,26.1,44.2,241.3,1154.6,26.8,9.93,7.6,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,5.79,46.9,66.0,2.0,34.7,2218.2,28.2,2.89,9.0,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.98,59.3,51.9,50.6,99.6,1146.6,28.1,1.44,16.92,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Minor,5.92,44.3,71.1,38.0,82.3,995.3,28.7,4.37,11.94,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,6.59,69.3,5.0,32.0,20.0,1181.1,27.2,1.88,1292.9,kg_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,5.39,51.5,156.8,79.1,165.8,1043.0,25.9,1.05,19.54,bags_per_acre,Medium
Eastern,Tomato,Pectomech,Major,5.11,46.3,79.2,14.7,100.5,1281.7,26.1,2.75,2097.8,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,5.64,28.8,52.1,2.0,133.2,1238.9,25.9,1.73,8.12,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,6.75,58.0,76.1,51.6,200.8,1320.0,25.9,3.2,16.48,bags_per_acre,Medium
Volta,Tomato,Pectomech,Minor,6.99,52.5,71.0,45.5,168.5,981.8,26.4,4.42,2095.4,kg_per_acre,Low
Western,Tomato,Local,Major,5.93,49.4,160.5,31.6,67.0,1696.9,24.0,10.05,2237.9,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Major,6.42,57.6,107.6,45.5,161.3,1048.7,27.4,3.46,11.82,bags_per_acre,Low
Western,Maize,Local,Major,6.73,26.4,84.3,18.1,230.9,1931.6,24.8,9.31,7.25,bags_per_acre,Low
Eastern,Tomato,Local,Minor,5.49,83.5,70.4,46.2,174.4,876.5,28.1,0.87,1547.9,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,6.59,67.2,27.0,53.5,166.1,1123.4,26.2,2.21,14.45,bags_per_acre,Medium
Eastern,Maize,Local,Minor,6.8,32.0,61.6,7.0,190.0,1270.6,28.8,0.6,5.04,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Minor,6.22,28.4,85.8,53.4,104.9,843.1,31.9,14.7,7.78,bags_per_acre,Low
Volta,Maize,Hybrid OPV,Minor,5.7,54.3,117.8,20.1,332.8,1128.2,28.0,1.26,9.77,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,7.07,52.6,112.6,25.2,141.4,1304.1,28.2,0.5,4038.9,kg_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Major,5.64,43.0,105.8,42.2,83.6,1013.2,27.6,1.75,13.04,bags_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Major,6.5,25.5,119.0,23.6,62.5,1264.4,24.5,0.98,9.38,bags_per_acre,Low
Eastern,Tomato,Pectomech,Major,5.97,52.8,66.9,37.9,36.5,1377.0,25.9,3.72,2028.3,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.16,55.7,39.0,25.9,164.1,971.7,26.8,5.23,13.2,bags_per_acre,Medium
Western,Tomato,Pectomech,Major,5.54,21.5,50.8,34.8,78.3,1709.1,26.5,14.31,1702.3,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,5.28,39.9,48.0,13.1,148.9,1294.3,28.8,0.74,9.81,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,6.87,86.1,114.8,36.8,115.1,1697.9,27.6,1.76,16.51,bags_per_acre,Medium
Ashanti,Tomato,Pectomech,Minor,5.94,64.7,85.4,27.3,159.7,1557.7,25.5,1.39,2754.7,kg_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Minor,7.08,62.1,65.1,26.6,59.1,1418.1,24.1,2.02,11.26,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.81,26.5,74.8,49.3,80.7,860.3,27.0,4.73,11.8,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.93,59.1,97.8,44.6,153.2,1592.0,27.3,4.16,16.44,bags_per_acre,Medium
Eastern,Tomato,F1 Hybrid,Minor,5.51,65.9,126.9,25.8,78.5,1281.9,27.9,1.44,3050.0,kg_per_acre,Medium
Volta,Tomato,F1 Hybrid,Minor,6.99,54.6,58.5,76.5,111.6,973.9,27.5,0.5,2931.2,kg_per_acre,Medium
Eastern,Tomato,F1 Hybrid,Minor,6.12,49.0,48.8,20.5,180.5,1446.4,27.9,0.57,3072.7,kg_per_acre,Medium
Eastern,Maize,Hybrid OPV,Minor,6.12,53.8,85.6,25.0,238.3,1774.7,25.6,1.13,9.84,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,5.97,29.6,49.9,49.2,109.1,1104.0,28.2,0.54,11.97,bags_per_acre,Low
Western,Tomato,F1 Hybrid,Minor,3.5,56.3,33.0,30.8,113.4,2149.2,26.4,2.72,1144.1,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,5.47,59.6,57.4,65.0,204.4,1697.4,24.9,1.18,11.21,bags_per_acre,Low
Eastern,Maize,Local,Major,5.81,57.6,37.5,29.8,111.2,1227.9,28.1,0.99,8.21,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.33,62.1,101.8,22.1,95.4,969.6,25.9,0.72,15.11,bags_per_acre,Medium
Volta,Maize,Local,Minor,5.89,51.1,74.2,18.6,163.8,1077.0,27.7,0.7,5.94,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,5.96,29.8,5.0,12.8,43.6,1253.9,26.4,1.6,3.99,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,6.72,24.7,132.8,20.8,119.2,983.7,29.5,1.26,9.46,bags_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.0,41.6,100.9,55.2,77.3,819.5,28.4,5.64,6.81,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.36,40.6,83.8,3.0,156.5,864.8,26.4,2.31,12.58,bags_per_acre,Medium
Volta,Maize,Local,Major,5.63,36.4,45.4,35.5,65.2,1034.2,29.2,4.82,6.32,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Minor,5.7,38.3,100.4,42.5,75.2,1257.4,25.4,0.5,1465.7,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,5.41,69.2,103.3,45.7,77.1,1223.4,28.0,2.44,3969.5,kg_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.7,65.1,89.7,11.0,31.8,1334.8,27.9,3.19,2789.5,kg_per_acre,Medium
Northern,Maize,Pioneer 30G19,Major,5.48,79.2,53.7,40.3,77.8,1428.8,29.7,4.13,8.65,bags_per_acre,Low
Volta,Tomato,Local,Major,5.36,42.9,64.8,77.8,221.6,1213.3,27.3,2.9,1768.6,kg_per_acre,Low
Eastern,Tomato,Local,Major,5.99,68.6,78.4,2.0,140.3,1330.7,27.4,1.62,1636.7,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.34,37.6,105.4,20.3,163.0,1307.3,28.2,0.5,14.67,bags_per_acre,Medium
Western,Maize,Local,Minor,5.77,46.3,74.8,49.3,141.7,1726.5,27.7,0.5,11.34,bags_per_acre,Low
Western,Tomato,F1 Hybrid,Major,6.03,64.0,134.8,66.4,126.3,2062.6,25.3,6.53,5336.3,kg_per_acre,High
Western,Tomato,F1 Hybrid,Major,5.01,45.0,122.9,35.8,70.9,1900.8,24.7,2.24,3264.9,kg_per_acre,Medium
Western,Maize,Local,Major,5.76,40.8,106.7,58.3,128.7,2081.3,27.4,3.9,9.72,bags_per_acre,Low
Volta,Tomato,Pectomech,Minor,6.41,55.8,50.0,49.0,213.2,1334.0,28.7,0.5,2512.3,kg_per_acre,Medium
Western,Tomato,Local,Major,5.22,31.7,96.0,31.6,134.8,1796.5,29.7,1.89,1291.7,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,5.6,66.8,35.4,73.9,131.5,935.6,26.0,1.62,12.63,bags_per_acre,Medium
Eastern,Tomato,Local,Minor,6.4,36.1,5.0,80.2,158.9,1364.1,25.8,1.59,1010.8,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Minor,5.41,33.9,64.7,45.4,110.7,1284.9,26.2,0.71,9.76,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,6.73,52.2,66.1,29.0,174.5,1294.8,25.4,1.05,3557.7,kg_per_acre,Medium
Western,Maize,Local,Major,5.0,62.9,141.6,86.8,64.0,1953.8,25.2,2.96,8.95,bags_per_acre,Low
Ashanti,Maize,Local,Major,6.05,45.1,72.6,28.8,142.2,1313.8,28.4,0.5,9.51,bags_per_acre,Low
Volta,Tomato,Pectomech,Minor,5.45,47.3,99.5,23.5,70.6,986.6,29.8,2.78,1513.6,kg_per_acre,Low
Western,Maize,Local,Minor,5.95,41.5,21.3,3.4,104.2,1842.9,27.9,4.4,4.78,bags_per_acre,Low
Western,Maize,Local,Minor,5.29,52.1,28.7,58.0,118.7,2046.1,25.0,3.66,6.32,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,7.11,51.0,55.2,35.6,170.5,1283.3,27.4,3.5,3976.2,kg_per_acre,Medium
Volta,Maize,Local,Major,5.51,41.7,73.3,37.3,99.4,965.3,28.9,4.0,8.52,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.75,77.3,76.8,7.7,149.7,1501.4,26.5,2.4,3232.8,kg_per_acre,Medium
Western,Maize,Pioneer 30G19,Minor,6.29,49.5,138.1,35.2,133.2,1741.6,26.8,0.83,17.31,bags_per_acre,Medium
Eastern,Tomato,Local,Minor,5.57,58.2,98.1,41.2,149.3,1503.3,26.9,11.13,1909.7,kg_per_acre,Low
Northern,Maize,Local,Major,5.65,60.7,27.1,38.0,105.4,1070.6,28.9,4.35,5.92,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,6.91,49.7,102.0,71.1,123.0,1170.5,29.0,4.95,2740.6,kg_per_acre,Medium
Northern,Maize,Pioneer 30G19,Minor,6.19,34.4,107.4,32.4,161.8,566.3,31.2,9.56,5.36,bags_per_acre,Low
Western,Maize,Local,Major,6.15,58.9,151.6,60.1,92.3,1980.5,24.4,0.5,12.0,bags_per_acre,Medium
Eastern,Maize,Local,Major,6.68,55.4,74.2,46.4,111.8,1357.4,26.6,4.87,9.69,bags_per_acre,Low
Northern,Maize,Local,Major,6.52,33.4,46.2,27.8,210.5,951.2,30.1,0.5,5.73,bags_per_acre,Low
Eastern,Tomato,Pectomech,Minor,6.67,24.1,60.0,14.6,70.9,929.0,27.0,0.5,1443.1,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,5.1,47.0,119.3,9.5,187.7,1487.8,25.4,0.8,2566.1,kg_per_acre,Medium
Northern,Tomato,F1 Hybrid,Minor,6.74,63.3,78.5,55.2,153.5,670.6,32.3,1.65,2295.8,kg_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,5.92,73.4,92.9,56.6,141.3,1155.8,26.5,3.58,16.5,bags_per_acre,Medium
Eastern,Maize,Local,Major,5.97,66.1,23.9,57.2,149.8,1323.8,28.9,1.08,7.69,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.06,35.1,70.4,12.4,123.1,1028.3,25.9,0.5,8.08,bags_per_acre,Low
Ashanti,Tomato,Local,Minor,6.21,48.5,145.7,51.8,178.0,1226.1,26.4,2.46,2089.1,kg_per_acre,Low
Northern,Maize,Local,Major,6.39,60.3,148.9,23.0,107.9,789.1,29.3,2.01,5.73,bags_per_acre,Low
Volta,Tomato,Pectomech,Major,6.45,59.7,64.5,46.7,173.6,1168.5,27.8,8.86,2882.3,kg_per_acre,Medium
Western,Tomato,Local,Major,5.27,39.7,81.1,40.6,121.6,1895.4,28.4,2.21,1664.9,kg_per_acre,Low
Northern,Tomato,Local,Major,6.34,54.2,32.5,29.9,180.8,713.6,30.7,1.33,1060.3,kg_per_acre,Low
Ashanti,Maize,Local,Major,6.4,27.8,47.9,13.6,182.3,1707.9,26.3,3.96,6.2,bags_per_acre,Low
Ashanti,Maize,Hybrid OPV,Minor,5.9,52.7,161.3,46.8,141.9,1479.6,26.9,2.33,12.71,bags_per_acre,Medium
Western,Maize,Pioneer 30G19,Major,5.63,44.6,73.9,53.6,106.2,2197.7,26.2,0.5,15.64,bags_per_acre,Medium
Western,Maize,Pioneer 30G19,Minor,5.72,42.2,5.0,67.0,168.7,1917.3,26.0,6.83,9.46,bags_per_acre,Low
Eastern,Tomato,Local,Minor,4.91,57.1,207.0,28.7,184.4,1426.1,24.4,1.3,1213.3,kg_per_acre,Low
Ashanti,Maize,Local,Major,5.82,48.4,71.7,22.5,109.0,1325.6,25.3,5.68,9.31,bags_per_acre,Low
Northern,Tomato,F1 Hybrid,Minor,6.92,39.1,163.6,29.8,181.2,872.0,29.5,6.82,2846.2,kg_per_acre,Medium
Brong-Ahafo,Maize,Local,Major,6.66,24.0,169.4,21.9,129.5,1095.6,25.7,8.11,6.53,bags_per_acre,Low
Western,Tomato,F1 Hybrid,Minor,5.58,54.7,90.9,15.3,164.5,1789.3,24.3,1.1,4037.3,kg_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.31,32.7,65.3,34.5,63.4,1428.5,24.6,1.06,8.88,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,6.76,60.1,48.5,31.2,81.8,1151.1,27.9,1.1,16.26,bags_per_acre,Medium
Western,Maize,Local,Major,5.65,46.3,71.3,2.0,76.8,2059.9,25.0,2.46,5.55,bags_per_acre,Low
Volta,Tomato,Pectomech,Minor,5.79,65.8,89.0,9.4,47.5,1096.7,24.2,0.5,1533.2,kg_per_acre,Low
Eastern,Maize,Local,Minor,5.21,32.5,54.3,37.4,73.5,1172.2,27.8,1.21,4.94,bags_per_acre,Low
Volta,Maize,Hybrid OPV,Major,5.96,63.8,52.9,8.4,142.6,873.1,28.3,0.64,8.88,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.48,65.0,46.3,59.0,141.5,1223.9,28.0,1.24,15.08,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Minor,6.04,40.8,78.8,6.9,124.1,2044.7,26.8,4.06,10.45,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,4.6,30.3,121.0,75.4,179.6,1251.8,27.2,1.55,1119.3,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.03,57.3,70.9,12.5,197.4,1263.3,27.2,3.44,11.96,bags_per_acre,Low
Eastern,Maize,Local,Minor,5.12,56.5,31.0,17.7,130.7,883.6,26.3,1.22,4.61,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Major,6.12,18.6,88.5,51.4,128.0,1154.5,28.0,1.8,1293.6,kg_per_acre,Low
Ashanti,Maize,Hybrid OPV,Major,6.19,76.8,36.9,71.9,89.8,1169.6,26.1,0.5,13.16,bags_per_acre,Medium
Eastern,Tomato,Local,Minor,5.96,55.3,52.0,57.1,220.5,1503.9,25.5,1.65,1791.5,kg_per_acre,Low
Ashanti,Maize,Hybrid OPV,Minor,6.28,53.6,26.5,50.9,183.4,1544.6,26.5,1.78,9.7,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Minor,7.33,41.6,100.0,28.0,86.4,1480.8,25.2,4.2,2791.8,kg_per_acre,Medium
Ashanti,Tomato,Local,Major,4.96,77.9,78.5,40.7,127.5,1323.6,25.6,2.34,1400.0,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Minor,5.22,60.1,63.5,2.0,160.8,1061.1,28.5,0.5,8.78,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,5.31,53.0,67.3,54.3,50.4,1113.3,29.9,0.5,1720.3,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,5.46,75.3,138.0,6.4,40.2,1315.2,26.6,1.34,7.26,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,6.32,60.3,102.3,31.5,109.7,944.1,29.8,0.5,12.45,bags_per_acre,Medium
Western,Tomato,Local,Major,5.99,80.7,9.9,11.6,105.5,1919.2,27.1,1.36,1296.0,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Major,6.47,34.8,71.4,46.9,178.1,1070.1,27.2,3.79,10.01,bags_per_acre,Low
Ashanti,Tomato,Local,Major,6.12,27.6,101.5,23.7,51.8,1306.9,25.7,4.39,1431.6,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,6.42,17.8,93.2,31.6,199.8,1226.7,27.9,15.0,1979.8,kg_per_acre,Low
Northern,Tomato,F1 Hybrid,Minor,7.19,55.3,71.6,49.7,105.7,914.7,28.9,1.32,2719.9,kg_per_acre,Medium
Northern,Maize,Local,Major,6.23,12.3,64.9,53.6,132.6,770.7,31.6,8.63,3.09,bags_per_acre,Low
Volta,Tomato,Local,Minor,6.05,59.7,97.3,46.2,70.6,853.7,27.9,3.41,1446.0,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Minor,6.29,48.5,133.2,2.0,102.6,653.5,29.1,0.5,4.4,bags_per_acre,Low
Northern,Tomato,Pectomech,Minor,6.52,46.3,109.7,83.1,20.0,955.9,32.8,6.76,1714.1,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,5.96,59.0,112.2,56.7,96.7,1049.2,26.7,0.57,11.69,bags_per_acre,Low
Northern,Tomato,Pectomech,Major,6.54,56.1,30.7,38.1,133.9,773.4,28.7,2.77,2198.5,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,6.57,43.1,127.3,74.3,131.4,1197.4,28.0,8.5,3538.0,kg_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,5.52,41.7,125.2,37.4,139.3,1182.1,26.3,0.5,13.4,bags_per_acre,Medium
Ashanti,Tomato,Local,Minor,5.84,46.9,149.8,25.5,83.8,1359.5,24.8,0.67,1818.4,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,5.97,75.3,61.7,36.5,164.6,939.3,29.3,1.76,2635.7,kg_per_acre,Medium
Western,Tomato,Pectomech,Major,5.55,82.9,73.9,42.3,160.6,1559.9,25.1,0.99,3135.6,kg_per_acre,Medium
Ashanti,Maize,Local,Major,6.24,38.1,112.2,16.6,107.0,1346.9,28.0,1.81,10.46,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.29,66.9,125.6,42.1,163.0,1403.5,27.0,1.21,3926.3,kg_per_acre,Medium
Western,Maize,Hybrid OPV,Major,6.29,64.3,128.2,59.4,251.1,1721.7,26.0,3.76,16.43,bags_per_acre,Medium
Eastern,Tomato,Local,Minor,5.9,67.4,121.7,31.8,45.6,1441.1,27.2,4.73,1652.2,kg_per_acre,Low
Northern,Tomato,Local,Minor,6.04,44.1,100.3,28.5,257.1,889.5,30.4,0.74,1242.4,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,6.27,48.4,5.0,35.4,146.6,1118.0,25.5,2.64,1856.7,kg_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,6.56,55.7,66.1,66.7,179.4,836.4,29.3,0.5,12.35,bags_per_acre,Medium
Northern,Maize,Hybrid OPV,Minor,6.57,55.7,40.3,36.6,202.7,648.1,30.7,3.13,5.87,bags_per_acre,Low
Ashanti,Tomato,Pectomech,Major,6.2,60.3,107.8,18.5,138.2,1465.5,26.5,2.59,2474.5,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.91,52.9,87.7,37.6,20.0,1151.4,25.5,1.92,15.55,bags_per_acre,Medium
Brong-Ahafo,Maize,Local,Major,5.98,53.9,75.9,35.6,92.4,1377.4,29.3,0.5,9.63,bags_per_acre,Low
Ashanti,Tomato,Local,Minor,5.25,34.6,89.1,20.4,113.9,1318.3,28.0,5.21,1078.6,kg_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,6.43,39.1,86.7,54.7,105.7,1025.1,30.6,1.39,11.9,bags_per_acre,Low
Eastern,Maize,Local,Major,6.46,81.8,65.1,55.6,200.9,1217.2,25.7,6.83,8.0,bags_per_acre,Low
Western,Maize,Local,Major,5.53,26.1,94.3,33.1,102.5,1854.3,27.8,7.82,8.27,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Minor,5.18,67.4,89.4,65.2,163.7,1170.8,26.6,3.55,2888.6,kg_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,6.03,68.8,84.7,39.1,136.3,1800.4,24.2,5.24,5345.4,kg_per_acre,High
Brong-Ahafo,Tomato,Local,Major,6.27,59.6,74.0,61.0,108.0,886.5,26.6,4.87,1934.0,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,6.82,17.1,71.2,26.9,120.4,2020.3,25.1,1.72,7.5,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.97,46.3,160.1,54.0,204.1,1304.1,28.1,1.66,19.22,bags_per_acre,Medium
Eastern,Tomato,F1 Hybrid,Minor,6.82,50.1,131.0,31.2,152.8,1320.4,27.3,2.33,3603.9,kg_per_acre,Medium
Brong-Ahafo,Maize,Local,Minor,6.21,31.0,155.6,24.9,159.3,967.3,26.9,0.55,7.88,bags_per_acre,Low
Volta,Tomato,Local,Major,5.88,43.7,63.6,27.5,185.3,955.1,28.8,1.58,1672.0,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,5.77,46.1,117.4,56.4,170.2,1853.0,25.9,3.87,15.16,bags_per_acre,Medium
Brong-Ahafo,Maize,Pioneer 30G19,Minor,5.51,42.2,143.7,42.2,98.3,1395.3,27.2,1.27,15.52,bags_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Major,6.54,72.5,64.3,57.2,145.1,1346.2,27.5,0.62,14.53,bags_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Major,6.32,57.3,58.3,56.5,82.1,1406.3,28.8,2.37,15.48,bags_per_acre,Medium
Northern,Tomato,Pectomech,Major,7.35,67.2,129.8,70.5,106.9,830.2,30.0,3.56,2364.7,kg_per_acre,Low
Western,Maize,Local,Major,6.79,57.9,136.7,20.5,94.6,1197.4,27.6,0.93,12.94,bags_per_acre,Medium
Brong-Ahafo,Maize,Local,Major,6.18,59.9,76.6,40.4,46.9,1090.0,26.2,4.1,8.95,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Minor,6.6,52.1,107.2,2.0,66.5,1236.0,27.1,0.5,2129.1,kg_per_acre,Low
Volta,Tomato,Local,Major,6.32,49.3,160.9,21.6,72.8,1146.0,27.5,0.5,1724.2,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Minor,6.0,72.6,81.9,12.0,105.5,905.0,24.5,6.91,8.8,bags_per_acre,Low
Volta,Tomato,Pectomech,Major,6.37,44.3,28.2,37.6,159.6,1123.5,27.6,1.57,2247.3,kg_per_acre,Low
Volta,Maize,Local,Major,5.29,67.3,18.9,4.1,120.2,1139.0,28.4,4.38,4.12,bags_per_acre,Low
Western,Tomato,Pectomech,Minor,5.22,52.4,72.8,51.2,173.3,1901.5,26.9,2.23,2388.8,kg_per_acre,Low
Western,Tomato,Pectomech,Minor,4.74,95.0,159.8,49.5,88.6,1775.0,25.0,0.5,1371.0,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Minor,5.26,66.5,78.1,10.6,251.3,1121.0,28.2,0.5,8.39,bags_per_acre,Low
Volta,Maize,Hybrid OPV,Major,6.69,76.9,140.5,63.9,110.3,1022.5,27.6,2.52,12.42,bags_per_acre,Medium
Western,Tomato,Local,Major,5.83,32.1,112.3,47.6,167.5,2008.2,26.7,5.6,1882.0,kg_per_acre,Low
Volta,Maize,Local,Major,5.41,32.4,120.9,49.2,96.6,918.0,29.3,4.4,6.84,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.17,79.8,111.2,99.3,148.3,1136.5,24.6,0.5,3966.9,kg_per_acre,Medium
Volta,Maize,Local,Major,5.66,58.2,122.3,61.1,190.3,1356.8,29.0,5.92,10.31,bags_per_acre,Low
